Finished TrainingConvNet2_ep250
training time:
20230102_223420
Epoch [1/250], Step [735/735], Loss: 2.2823
Epoch [2/250], Step [735/735], Loss: 2.2969
Epoch [3/250], Step [735/735], Loss: 2.3195
Epoch [4/250], Step [735/735], Loss: 2.3215
Epoch [5/250], Step [735/735], Loss: 2.3268
Epoch [6/250], Step [735/735], Loss: 2.2963
Epoch [7/250], Step [735/735], Loss: 2.2801
Epoch [8/250], Step [735/735], Loss: 2.2997
Epoch [9/250], Step [735/735], Loss: 2.3156
Epoch [10/250], Step [735/735], Loss: 2.3039
Epoch [11/250], Step [735/735], Loss: 2.3204
Epoch [12/250], Step [735/735], Loss: 2.2803
Epoch [13/250], Step [735/735], Loss: 2.3190
Epoch [14/250], Step [735/735], Loss: 2.3025
Epoch [15/250], Step [735/735], Loss: 2.3011
Epoch [16/250], Step [735/735], Loss: 2.2926
Epoch [17/250], Step [735/735], Loss: 2.3095
Epoch [18/250], Step [735/735], Loss: 2.3126
Epoch [19/250], Step [735/735], Loss: 2.2959
Epoch [20/250], Step [735/735], Loss: 2.3057
Epoch [21/250], Step [735/735], Loss: 2.3054
Epoch [22/250], Step [735/735], Loss: 2.2858
Epoch [23/250], Step [735/735], Loss: 2.3168
Epoch [24/250], Step [735/735], Loss: 2.3182
Epoch [25/250], Step [735/735], Loss: 2.3105
Epoch [26/250], Step [735/735], Loss: 2.2980
Epoch [27/250], Step [735/735], Loss: 2.3165
Epoch [28/250], Step [735/735], Loss: 2.3016
Epoch [29/250], Step [735/735], Loss: 2.3217
Epoch [30/250], Step [735/735], Loss: 2.3219
Epoch [31/250], Step [735/735], Loss: 2.2934
Epoch [32/250], Step [735/735], Loss: 2.2925
Epoch [33/250], Step [735/735], Loss: 2.3015
Epoch [34/250], Step [735/735], Loss: 2.3105
Epoch [35/250], Step [735/735], Loss: 2.3179
Epoch [36/250], Step [735/735], Loss: 2.3201
Epoch [37/250], Step [735/735], Loss: 2.2800
Epoch [38/250], Step [735/735], Loss: 2.3090
Epoch [39/250], Step [735/735], Loss: 2.2750
Epoch [40/250], Step [735/735], Loss: 2.2756
Epoch [41/250], Step [735/735], Loss: 2.2948
Epoch [42/250], Step [735/735], Loss: 2.2684
Epoch [43/250], Step [735/735], Loss: 2.2902
Epoch [44/250], Step [735/735], Loss: 2.2886
Epoch [45/250], Step [735/735], Loss: 2.3178
Epoch [46/250], Step [735/735], Loss: 2.3175
Epoch [47/250], Step [735/735], Loss: 2.2998
Epoch [48/250], Step [735/735], Loss: 2.3076
Epoch [49/250], Step [735/735], Loss: 2.3005
Epoch [50/250], Step [735/735], Loss: 2.2979
Epoch [51/250], Step [735/735], Loss: 2.3007
Epoch [52/250], Step [735/735], Loss: 2.2988
Epoch [53/250], Step [735/735], Loss: 2.3207
Epoch [54/250], Step [735/735], Loss: 2.2870
Epoch [55/250], Step [735/735], Loss: 2.2952
Epoch [56/250], Step [735/735], Loss: 2.3031
Epoch [57/250], Step [735/735], Loss: 2.2817
Epoch [58/250], Step [735/735], Loss: 2.3061
Epoch [59/250], Step [735/735], Loss: 2.3030
Epoch [60/250], Step [735/735], Loss: 2.2906
Epoch [61/250], Step [735/735], Loss: 2.3079
Epoch [62/250], Step [735/735], Loss: 2.2868
Epoch [63/250], Step [735/735], Loss: 2.3062
Epoch [64/250], Step [735/735], Loss: 2.2861
Epoch [65/250], Step [735/735], Loss: 2.3188
Epoch [66/250], Step [735/735], Loss: 2.3276
Epoch [67/250], Step [735/735], Loss: 2.3069
Epoch [68/250], Step [735/735], Loss: 2.3258
Epoch [69/250], Step [735/735], Loss: 2.3171
Epoch [70/250], Step [735/735], Loss: 2.3241
Epoch [71/250], Step [735/735], Loss: 2.2989
Epoch [72/250], Step [735/735], Loss: 2.2786
Epoch [73/250], Step [735/735], Loss: 2.2752
Epoch [74/250], Step [735/735], Loss: 2.3043
Epoch [75/250], Step [735/735], Loss: 2.3096
Epoch [76/250], Step [735/735], Loss: 2.2935
Epoch [77/250], Step [735/735], Loss: 2.2973
Epoch [78/250], Step [735/735], Loss: 2.2803
Epoch [79/250], Step [735/735], Loss: 2.2750
Epoch [80/250], Step [735/735], Loss: 2.3065
Epoch [81/250], Step [735/735], Loss: 2.2727
Epoch [82/250], Step [735/735], Loss: 2.3097
Epoch [83/250], Step [735/735], Loss: 2.3254
Epoch [84/250], Step [735/735], Loss: 2.2784
Epoch [85/250], Step [735/735], Loss: 2.2744
Epoch [86/250], Step [735/735], Loss: 2.3127
Epoch [87/250], Step [735/735], Loss: 2.2945
Epoch [88/250], Step [735/735], Loss: 2.3072
Epoch [89/250], Step [735/735], Loss: 2.2926
Epoch [90/250], Step [735/735], Loss: 2.2929
Epoch [91/250], Step [735/735], Loss: 2.2655
Epoch [92/250], Step [735/735], Loss: 2.2841
Epoch [93/250], Step [735/735], Loss: 2.3079
Epoch [94/250], Step [735/735], Loss: 2.3051
Epoch [95/250], Step [735/735], Loss: 2.3054
Epoch [96/250], Step [735/735], Loss: 2.2683
Epoch [97/250], Step [735/735], Loss: 2.3153
Epoch [98/250], Step [735/735], Loss: 2.2984
Epoch [99/250], Step [735/735], Loss: 2.3165
Epoch [100/250], Step [735/735], Loss: 2.2549
Epoch [101/250], Step [735/735], Loss: 2.2979
Epoch [102/250], Step [735/735], Loss: 2.2733
Epoch [103/250], Step [735/735], Loss: 2.3074
Epoch [104/250], Step [735/735], Loss: 2.3052
Epoch [105/250], Step [735/735], Loss: 2.2727
Epoch [106/250], Step [735/735], Loss: 2.2987
Epoch [107/250], Step [735/735], Loss: 2.3273
Epoch [108/250], Step [735/735], Loss: 2.3036
Epoch [109/250], Step [735/735], Loss: 2.3014
Epoch [110/250], Step [735/735], Loss: 2.2978
Epoch [111/250], Step [735/735], Loss: 2.2702
Epoch [112/250], Step [735/735], Loss: 2.2842
Epoch [113/250], Step [735/735], Loss: 2.3159
Epoch [114/250], Step [735/735], Loss: 2.2984
Epoch [115/250], Step [735/735], Loss: 2.2820
Epoch [116/250], Step [735/735], Loss: 2.2848
Epoch [117/250], Step [735/735], Loss: 2.3118
Epoch [118/250], Step [735/735], Loss: 2.2940
Epoch [119/250], Step [735/735], Loss: 2.2772
Epoch [120/250], Step [735/735], Loss: 2.2802
Epoch [121/250], Step [735/735], Loss: 2.2884
Epoch [122/250], Step [735/735], Loss: 2.2855
Epoch [123/250], Step [735/735], Loss: 2.3266
Epoch [124/250], Step [735/735], Loss: 2.2867
Epoch [125/250], Step [735/735], Loss: 2.3074
Epoch [126/250], Step [735/735], Loss: 2.2827
Epoch [127/250], Step [735/735], Loss: 2.2798
Epoch [128/250], Step [735/735], Loss: 2.3133
Epoch [129/250], Step [735/735], Loss: 2.3230
Epoch [130/250], Step [735/735], Loss: 2.2849
Epoch [131/250], Step [735/735], Loss: 2.3114
